Column1;Column2;Column3;Column4
-8349841,865;-8349841,865;-9689111,279;-9067624,093
-8349841,865;-8390687,147;-9895124,371;-9102192,887
-8337782,953;-8337782,953;-9960082,734;-9094674,515
-8337782,953;-8588280,301;-9989718,595;-9074146,162
-8337782,953;-8649982,65;-9930879,54;-9004342,234
-8337782,953;-8641491,824;-9722659,798;-9127407,292
-8187028,658;-8187028,658;-9709121,134;-8856059,643
-8187028,658;-8265344,755;-10005483,1;-8862938,496
-8187028,658;-8575836,825;-9828555,865;-9020044,123
-8187028,658;-8447155,211;-9889335,947;-9048485,31
-8187028,658;-8258624,513;-9872361,08;-8844354,719
-8187028,658;-8264138,394;-9880710,538;-8783826,191
-8187028,658;-8191599,456;-10019402,16;-8809549,04
-8187028,658;-8209974,469;-10081665,38;-8815336,933
-8187028,658;-8390259,781;-10064349,68;-8810862,796
-8187028,658;-8378538,638;-9921716,463;-8866086,134
-8084531,138;-8084531,138;-9901618,502;-9016161,557
-8078082,12;-8078082,12;-9788344,291;-8785604,786
-8078082,12;-8080535,366;-9864822,313;-8685103,055
-8078082,12;-8111072,624;-9900113,497;-8717851,513
-8078082,12;-8103312,918;-9815063,01;-8745017,929
-8071597,422;-8071597,422;-9841019,305;-8732280,212
-8071597,422;-8074212,809;-10055882,73;-8678491,431
-8071597,422;-8086808,194;-9692438,071;-8644664,729
-8065628,122;-8065628,122;-9736540,248;-8614534,174
-8065628,122;-8111072,369;-9889052,646;-8722283,694
-8065628,122;-8168791,187;-9840787,783;-8673461,503
-8065628,122;-8212949,079;-9892489,828;-8708299,02
-8065628,122;-8208574,53;-9851263,27;-8700946,097
-8065628,122;-8194735,857;-9836861,862;-8687316,244
-8065628,122;-8440432,329;-9807749,934;-8696322,152
-8065628,122;-8554471,202;-9804908,744;-8739822,729
-8065628,122;-8648376,743;-9831175,457;-8802526,19
-8065628,122;-8396183,578;-9933296,268;-8831634,519
-8065628,122;-8561902,14;-9948620,198;-8823572,321
-8065628,122;-8341955,799;-9661492,099;-8751041,346
-8065628,122;-8241583,839;-9907678,942;-8761146,308
-8065628,122;-8238202,38;-9615384,581;-8823764,267
-8065628,122;-8240840,637;-9667635,162;-8882867,749
-8065628,122;-8418678,722;-9835296,911;-8840157,328
-8065628,122;-8291984,844;-9787566,589;-8709864,018
-8065628,122;-8297298,019;-9764709,67;-8775743,599
-8065628,122;-8293834,815;-9787301,747;-8746301,791
-8065628,122;-8320150,673;-9906773,172;-8751738,542
-8065628,122;-8371036,429;-9857235,494;-8864687,539
-8065628,122;-8468215,528;-9766336,505;-8885432,616
-8065628,122;-8480632,17;-9865329,466;-8890693,83
-8065628,122;-8454469,011;-9729332,662;-8825972,711
-8065628,122;-8388344,29;-9866186,935;-8844747,513
-8065628,122;-8470805,111;-9913754,769;-8783696,879
-8065628,122;-8454281,264;-9875562,775;-8779350,45
-8065628,122;-8441939,871;-10085300,35;-8772431,962
-8065628,122;-8450800,7;-9761792,327;-8821161,257
-8065628,122;-8287811,21;-9902632,95;-8843603,981
-8065628,122;-8194582,048;-9858109,939;-8761466,623
-8065628,122;-8207612,485;-9742757,644;-8802390,787
-8065628,122;-8198536,812;-9877919,928;-8803772,397
-8065628,122;-8402082,955;-9687700,879;-9006098,411
-7961492,613;-7961492,613;-9799084,611;-8882510,332
-7961492,613;-7973083,077;-9769554,441;-8790354,188
-7961492,613;-7985845,495;-9640730,268;-8811706,454
-7961492,613;-8077141,715;-9714548,935;-8824216
-7961492,613;-8010739,252;-9692553,595;-8807194,796
-7961492,613;-8018593,574;-9745492,594;-8838797,458
-7961492,613;-8027543,132;-9733416,157;-8904987,357
-7961492,613;-8026503,145;-9939720,621;-8973649,672
-7961492,613;-8069694,401;-9719771,693;-8950052,454
-7961492,613;-8045109,026;-9674744,633;-8923604,556
-7961492,613;-8449479,039;-9773026,495;-8991074,126
-7961492,613;-8455871,481;-9647231,583;-9007595,231
-7961492,613;-8455276,482;-9711383,441;-8929658,712
-7961492,613;-8456978,733;-9685953,439;-8988160,955
-7961492,613;-8401456,214;-9716793,143;-9022912,577
-7961492,613;-8405957,093;-9657132,8;-9022698,015
-7961492,613;-8397095,599;-9764262,403;-8989979,116
-7961492,613;-8398825,267;-9824559,128;-8874992,229
-7961492,613;-8395578,308;-9683737,984;-8827511,93
-7961492,613;-8428075,239;-9663886,866;-8873149,574
-7961492,613;-8299098,297;-9773699,509;-8817575,66
-7961492,613;-8366819,341;-9730547,315;-8865609,751
-7961492,613;-8252579,275;-9741788,512;-8819622,797
-7961492,613;-8377814,646;-9730607,092;-8845247,757
-7961492,613;-8375913,485;-9800166,791;-8836350,291
-7961492,613;-8372252,132;-10066965,71;-8779047,702
-7961492,613;-8277616,481;-9722131,486;-8698997,899
-7961492,613;-8375419,643;-9718098,954;-8749416,923
-7961492,613;-8377701,26;-9753118,363;-8773366,121
-7961492,613;-8307762,488;-9597267,277;-8770044,305
-7961492,613;-8387083,644;-9814687,548;-8889987,985
-7961492,613;-8421469,085;-9732818,307;-8918230,544
-7961492,613;-8303831,448;-9672797,697;-8791902,998
-7961492,613;-8038023,2;-9734563,527;-8698219,538
-7961492,613;-8021907,556;-9733140,513;-8615325,787
-7961492,613;-8035450,361;-9846170,824;-8582391,748
-7961492,613;-8012047,466;-9781313,54;-8778605,91
-7961492,613;-8219209,491;-9739011,119;-8811786,538
-7961492,613;-8171086,53;-9631701,006;-8801615,453
-7961492,613;-8170155,329;-9631237,231;-8711804,439
-7961492,613;-8154045,297;-9831676,743;-8747447,902
-7961492,613;-8018973,786;-9823848,596;-8743925,169
-7961492,613;-8069761;-9677552,332;-8814078,384
-7961492,613;-8234592,698;-9640497,418;-8741559,859
-7961492,613;-8225130,115;-9595405,754;-8710293,59
-7961492,613;-8223838,441;-9527324,075;-8681124,585
-7961492,613;-8221640,782;-9682104,352;-8670384,078
-7961492,613;-8215834,914;-9632360,31;-8694601,349
-7961492,613;-8304145,97;-9636193,485;-8784978,713
-7961492,613;-8296533,264;-9725252,539;-8737068,607
-7961492,613;-8294291,493;-9564084,553;-8711056,088
-7961492,613;-8326790,748;-9618900,579;-8713157,399
-7961492,613;-8338048,195;-9581590,369;-8810395,53
-7961492,613;-8176548,835;-9628731,417;-8685797,506
-7961492,613;-8216450,776;-9635815,383;-8662222,655
-7961492,613;-8214348,049;-9806266,005;-8670875,568
-7961492,613;-8221365,755;-9741396,735;-8648246,308
-7961492,613;-8268922,561;-9710424,288;-8627065,06
-7961492,613;-8283794,448;-9816034,877;-8666799,634
-7961492,613;-8283794,448;-9746924,402;-8696237,806
-7961492,613;-8251255,29;-9801594,764;-8727552,626
-7961492,613;-8231467,46;-9648582,055;-8696559,221
-7961492,613;-8412483,946;-9728989,856;-8716082,083
-7961492,613;-8484282,205;-9706413,148;-8684750,804
-7961492,613;-8293120,732;-9747709,587;-8642812,733
-7961492,613;-8301826,809;-9645499,874;-8743057,75
-7961492,613;-8292862,413;-9662538,901;-8670301,813
-7961492,613;-8294509,578;-9502177,139;-8650398,282
-7961492,613;-8297461,662;-9542862,015;-8659829,704
-7961492,613;-8296014,339;-9700803,188;-8714986,561
-7961492,613;-8313010,042;-9586701,263;-8735460,029
-7961492,613;-8375237,193;-9647695,314;-8779071,826
-7961492,613;-8427074,007;-9520898,68;-8814278,725
-7961492,613;-8432147,425;-9464284,052;-8822627,659
-7961492,613;-8296180,519;-9691254,845;-8808958,296
-7961492,613;-8185966,836;-9589380,602;-8777371,033
-7961492,613;-8184697,532;-9609587,815;-8790644,575
-7961492,613;-8143632,955;-9700403,782;-8804742,124
-7961492,613;-8210773,319;-9765092,684;-8754737,953
-7961492,613;-8213613,882;-9609949,239;-8705695,141
-7961492,613;-8207663,082;-9684253,924;-8692765,054
-7961492,613;-8189898,773;-9534972,307;-8712751,436
-7961492,613;-8168518,831;-9596202,934;-8731016,678
-7961492,613;-8121537,428;-9548382,768;-8663218,536
-7961492,613;-8078492,847;-9536578,292;-8689802,445
-7961492,613;-8055863,165;-9465457,82;-8681149,975
-7961492,613;-8069311,856;-9498625,735;-8670216,918
-7961492,613;-8271051,727;-9537566,311;-8659775,97
-7961492,613;-8176488,92;-9515880,849;-8629199,251
-7961492,613;-8178321,236;-9808521,729;-8686421,198
-7961492,613;-8232757,343;-9552300,315;-8634274,943
-7961492,613;-8251455,347;-9435623,376;-8598232,481
-7961492,613;-8239410,99;-9801692,539;-8664633,458
-7961492,613;-8254778,708;-9690067,051;-8832790,814
-7961492,613;-8312351,069;-9613484,323;-8695099,134
-7961492,613;-8266209,343;-9740874,492;-8679306,721
-7961492,613;-8253420,298;-9807390,824;-8713564,227
-7961492,613;-8276823,863;-9722046,174;-8702122,332
-7961492,613;-8046131,749;-9667586,033;-8748089,186
-7961492,613;-8040689,014;-9685336,559;-8737572,916
-7961492,613;-8045361,303;-9689415,071;-8692419,267
-7961492,613;-8041698,116;-9539947,964;-8713388,638
-7961492,613;-8045891,852;-9629215,2;-8705471,179
-7961492,613;-8450026,741;-9520144,828;-8770486,921
-7961492,613;-8448292,15;-9578891,375;-8785497,905
-7961492,613;-8359600,58;-9807575,567;-8746010,355
-7961492,613;-8345938,114;-9714992,58;-8748496,36
-7961492,613;-8305120,702;-9570548,933;-8725234,394
-7961492,613;-8169652,519;-9680125,263;-8739420,387
-7961492,613;-8171678,488;-9634272,074;-8827132,168
-7961492,613;-8201821,694;-9640025,063;-8808973,466
-7961492,613;-8121834,396;-9833656,764;-8776281,165
-7961492,613;-8123232,482;-9642463,496;-8754126,261
-7961492,613;-8122593,266;-9524391,022;-8721209,27
-7961492,613;-8123994,093;-9594954,954;-8728797,148
-7961492,613;-8098515,095;-9674251,161;-8686495,912
-7961492,613;-8212990,017;-9594352,922;-8680821,157
-7961492,613;-8196448,35;-9674104,869;-8709949,653
-7961492,613;-8193295,366;-9742625,527;-8689635,113
-7961492,613;-8153977,995;-9776941,212;-8717470,41
-7961492,613;-8188700,37;-9622139,004;-8759904,655
-7961492,613;-8209191,143;-9719598,285;-8801894,541
-7961492,613;-8237440,326;-9591357,299;-8832522,876
-7961492,613;-8349679,413;-9650360,921;-8817690,407
