-2175,918 -47798,23 -2875,091
-2041,888 -43202,5 -2356,787
-1661,443 -39311,09 -1960,175
-1482,836 -39480,47 -1693,326
-1482,836 -40470,87 -1611,012
-1482,836 -35517,24 -1552,413
-1482,836 -39977,99 -1495,231
-1482,836 -32570,58 -1485,259
-1482,836 -32506,85 -1482,836
-1482,836 -32616,76 -1482,836
-1482,836 -27968,5 -1482,836
-1482,836 -32761,88 -1482,836
-1482,836 -27968,5 -1482,836
-1482,836 -27968,5 -1482,836
-1482,836 -27968,5 -1482,836
-1482,836 -27968,5 -1482,836
-1482,836 -27968,5 -1482,836
-1482,836 -27968,5 -1482,836
-1482,836 -27968,5 -1482,836
-1482,836 -27968,5 -1482,836
-1482,836 -27968,5 -1482,836
-1482,836 -27968,5 -1482,836
-1482,836 -27968,5 -1482,836
-1482,836 -27968,5 -1482,836
-1482,836 -27968,5 -1482,836
-1482,836 -27968,5 -1482,836
-1482,836 -27968,5 -1482,836
-1482,836 -27968,5 -1482,836
-1482,836 -27968,5 -1482,836
-1482,836 -27968,5 -1482,836
-1482,836 -27968,5 -1482,836
-1482,836 -27968,5 -1482,836
-1482,836 -27968,5 -1482,836
-1482,836 -27968,5 -1482,836
-1482,836 -27968,5 -1482,836
-1482,836 -27968,5 -1482,836
-1482,836 -27968,5 -1482,836
-1482,836 -27968,5 -1482,836
-1482,836 -27968,5 -1482,836
-1482,836 -27968,5 -1482,836
-1482,836 -27968,5 -1482,836
-1482,836 -27968,5 -1482,836
-1482,836 -27968,5 -1482,836
-1482,836 -27968,5 -1482,836
-1482,836 -27968,5 -1482,836
-1482,836 -27968,5 -1482,836
-1482,836 -27968,5 -1482,836
-1482,836 -27968,5 -1482,836
-1482,836 -27968,5 -1482,836
-1482,836 -27968,5 -1482,836
-1482,836 -27968,5 -1482,836
-1482,836 -27968,5 -1482,836
-1482,836 -27968,5 -1482,836
-1482,836 -27968,5 -1482,836
-1482,836 -27968,5 -1482,836
-1482,836 -27968,5 -1482,836
-1482,836 -27968,5 -1482,836
-1482,836 -27968,5 -1482,836
-1482,836 -27968,5 -1482,836
-1482,836 -27968,5 -1482,836
-1482,836 -27968,5 -1482,836
-1482,836 -27968,5 -1482,836
-1482,836 -27968,5 -1482,836
-1482,836 -27968,5 -1482,836
-1482,836 -27968,5 -1482,836
-1482,836 -27968,5 -1482,836
-1482,836 -27968,5 -1482,836
-1482,836 -27968,5 -1482,836
-1482,836 -27968,5 -1482,836
-1482,836 -27968,5 -1482,836
-1482,836 -27968,5 -1482,836
-1482,836 -27968,5 -1482,836
-1482,836 -27968,5 -1482,836
-1482,836 -27968,5 -1482,836
-1482,836 -27968,5 -1482,836
-1482,836 -27968,5 -1482,836
-1482,836 -27968,5 -1482,836
-1482,836 -27968,5 -1482,836
-1482,836 -27968,5 -1482,836
-1482,836 -27968,5 -1482,836
-1482,836 -27968,5 -1482,836
-1482,836 -27968,5 -1482,836
-1482,836 -27968,5 -1482,836
-1482,836 -27968,5 -1482,836
-1482,836 -27968,5 -1482,836
-1482,836 -27968,5 -1482,836
-1482,836 -27968,5 -1482,836
-1482,836 -27968,5 -1482,836
-1482,836 -27968,5 -1482,836
-1482,836 -27968,5 -1482,836
-1482,836 -27968,5 -1482,836
-1482,836 -27968,5 -1482,836
-1482,836 -27968,5 -1482,836
-1482,836 -27968,5 -1482,836
-1482,836 -27968,5 -1482,836
-1482,836 -27968,5 -1482,836
-1482,836 -27968,5 -1482,836
-1482,836 -27968,5 -1482,836
-1482,836 -27968,5 -1482,836
-1482,836 -27968,5 -1482,836
